P : 74634.9
Cargo :65,	z :0,	Path :2K12->3K12->3K13->3F30->3F31->3E42->3G45->3G46-><
Cargo :68,	z :0.422062,	Path :2L10->3L10->3L11->3E22->3E23->3E24->3C36->3C37->3A42->3A43->3K50->2K51->6K51->6F53-><
Cargo :68,	z :0,	Path :2L11->3L11->3E22->3E23->3E24->3C36->3C37->3A42->3A43->3K50->2K51->6K51->6F53-><
Cargo :68,	z :0.577938,	Path :2L9->3L9->3J16->3J17->3F34->3F35->3A43->3K50->3K51->2K52->2K53->2K54->4K54->4F56-><
Cargo :69,	z :1,	Path :2B7->0B7->0J16->0J17->2J18->2J19->2J20->2J21->2J22->2J23->1J23->1D25->1B27->1F28-><
Cargo :70,	z :1,	Path :2F8->3F8->3I16->3I17->3I18->3H20->3H21->3L34->3L35-><
Cargo :71,	z :1,	Path :2G21->3G21->3E23->3E24->3C36->3C37->3A42->3A43->2A44->2A45->2A46->2A47->6A47->6I48-><
Cargo :71,	z :0,	Path :2G20->3G20->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32-><
Cargo :75,	z :1,	Path :2E3->4E3->4C4->4H6->4L7->4I9->4E10->4I11->4C12->4D14->4J16->4H18-><
Cargo :76,	z :1,	Path :2F23->5F23->5B30->5B31->5H33->5H34->5E46->2E47->4E47->4I48->4A49->4B50-><
Cargo :78,	z :1,	Path :2B23->3B23->3L31->3L32->3E43->3E44->2E45->4E45->4C46->4H48->4L49->4I51-><
Cargo :79,	z :0,	Path :2G20->3G20->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33->4D35-><
Cargo :79,	z :1,	Path :2G21->3G21->3E23->3E24->3C36->3C37->3A42->3A43->2A44->2A45->2A46->6A46->6H48->6D50-><
Cargo :79,	z :0,	Path :2G21->3G21->3E23->2E24->4E24->4C25->4H27->4L28->4I30->4E31->4I32->4C33->4D35-><
Cargo :80,	z :1,	Path :2B6->3B6->3B7->3D23->3D24->3F37->3F38->2F39->2F40->2F41->2F42->6F42->6L44->6A46-><
Cargo :80,	z :0,	Path :2B7->0B7->0J16->0J17->0D27->0D28->2D29->2D30->2D31->2D32->2D33->2D34->6D34->6A35-><
Cargo :81,	z :1,	Path :2E21->3E21->3G24->3G25->3B27->3B28->2B29->2B30->2B31->2B32->2B33->6B33->6A34->6I35-><
Cargo :82,	z :1,	Path :2A24->3A24->3L29->3L30->3J37->3J38->3J39->2J40->2J41->2J42->2J43->2J44->1J44->1D46-><
Cargo :83,	z :1,	Path :2I17->3I17->3E21->3E22->3H34->3H35->3B37->3B38->3J46->3J47->2J48->6J48->6H50->6B52-><
Cargo :83,	z :0,	Path :2I17->3I17->3I18->3H20->3H21->3L34->3L35->2L36->2L37->6L37->6G39->6B40-><
Cargo :84,	z :0.974024,	Path :2A24->3A24->3L29->3L30->2L31->2L32->3L32->3E43->3E44->3E45->3C57-><
Cargo :84,	z :0.0259757,	Path :2A21->3A21->3A22->3K29->3K30->3A37->3A38->3H48->3C57-><
Cargo :86,	z :1,	Path :2G24->3G24->3G25->3B27->3B28->3D44->3D45->2D46->2D47->2D48->6D48->6L49-><
Cargo :87,	z :0.312035,	Path :2F23->3F23->3F24->2F25->6F25->6G27->6C28->6K30->6F32->6C34-><
Cargo :88,	z :0,	Path :2F29->3F29->3I37->3I38->3E42->3E43->2E44->6E44->6K46->6H48->6D50-><
Cargo :88,	z :0,	Path :2F30->3F30->3F31->3E42->3E43->2E44->6E44->6K46->6H48->6D50-><
Cargo :89,	z :0,	Path :2C15->3C15->3F23->3F24->2F25->2F26->2F27->2F28->2F29->3F29->3I37->3I38->3I39->3H41-><
Cargo :89,	z :0,	Path :2C12->3C12->3C13->3L24->3L25->3J32->3J33->2J34->2J35->2J36->2J37->4J37->4H39-><
Cargo :90,	z :0.010904,	Path :2K12->3K12->3K13->3F30->3F31->3E42->3E43->3E44->2E45->6E45->6F47->6J48->6H50->6B52-><
Cargo :90,	z :0,	Path :2K13->3K13->3F30->3F31->3E42->3E43->3E44->2E45->6E45->6F47->6J48->6H50->6B52-><
Cargo :91,	z :0.000754955,	Path :2K13->3K13->3F30->3F31->3E42->3E43->3E44->3E45->2E46->2E47->2E48->6E48->6J49->6G50-><
Cargo :91,	z :0,	Path :2K12->3K12->3K13->3F30->3F31->3E42->3G45->3G46-><
Cargo :92,	z :0,	Path :2K22->5K22->5K23->2K24->2K25->2K26->2K27->2K28->2K29->3K29->3K30->3A37->3A38-><
Cargo :94,	z :0.585313,	Path :2A24->3A24->3L29->3L30->3J37->3J38->3J39->2J40->2J41->2J42->4J42->4L44-><
Cargo :95,	z :0.585313,	Path :2C14->3C14->3C15->3C16->3A21->3A22->3K29->2K30->4K30->4E32->4H33->4B35->4K37-><
Cargo :95,	z :0.000220793,	Path :2C12->3C12->3C13->3L24->3L25->3J32->3J33->3C41->3C42->2C43->6C43->6E44->6K46-><
Cargo :97,	z :0.585313,	Path :2B23->3B23->3L31->3L32->3E43->2E44->6E44->6K46-><
Cargo :98,	z :0.585313,	Path :2H19->5H19->5E31->5E32->2E33->4E33->4C34->4H36->4L37->4I39-><
